id,name,data,eserviceName,producerName,totalActiveConsumers,activeConsumersByMacroCategory,eserviceName,producerName,totalActiveConsumers,activeConsumersByMacroCategory
11,Enti privati,"{'eserviceName': 'AUSA - Anagrafe Unica delle Stazioni Appaltanti', 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC."", 'totalActiveConsumers': 11, 'activeConsumersByMacroCategory': [{'id': '11', 'name': 'Enti privati', 'count': 11}]}",AUSA - Anagrafe Unica delle Stazioni Appaltanti,Autorita' Nazionale Anticorruzione - A.N.AC.,11.0,"{'id': '11', 'name': 'Enti privati', 'count': 11}",AUSA - Anagrafe Unica delle Stazioni Appaltanti,Autorita' Nazionale Anticorruzione - A.N.AC.,11.0,"[{'id': '11', 'name': 'Enti privati', 'count': 11}]"
11,Enti privati,"{'eserviceName': 'PCP - Pianificazione appalto', 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC."", 'totalActiveConsumers': 9, 'activeConsumersByMacroCategory': [{'id': '11', 'name': 'Enti privati', 'count': 9}]}",PCP - Pianificazione appalto,Autorita' Nazionale Anticorruzione - A.N.AC.,9.0,"{'id': '11', 'name': 'Enti privati', 'count': 9}",PCP - Pianificazione appalto,Autorita' Nazionale Anticorruzione - A.N.AC.,9.0,"[{'id': '11', 'name': 'Enti privati', 'count': 9}]"
11,Enti privati,"{'eserviceName': 'PCP – CodeList', 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC."", 'totalActiveConsumers': 8, 'activeConsumersByMacroCategory': [{'id': '11', 'name': 'Enti privati', 'count': 8}]}",PCP – CodeList,Autorita' Nazionale Anticorruzione - A.N.AC.,8.0,"{'id': '11', 'name': 'Enti privati', 'count': 8}",PCP – CodeList,Autorita' Nazionale Anticorruzione - A.N.AC.,8.0,"[{'id': '11', 'name': 'Enti privati', 'count': 8}]"
11,Enti privati,"{'eserviceName': 'PCP - FVC', 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC."", 'totalActiveConsumers': 4, 'activeConsumersByMacroCategory': [{'id': '11', 'name': 'Enti privati', 'count': 4}]}",PCP - FVC,Autorita' Nazionale Anticorruzione - A.N.AC.,4.0,"{'id': '11', 'name': 'Enti privati', 'count': 4}",PCP - FVC,Autorita' Nazionale Anticorruzione - A.N.AC.,4.0,"[{'id': '11', 'name': 'Enti privati', 'count': 4}]"
4,Enti Nazionali di Previdenza ed Assistenza Sociale,"{'eserviceName': 'Servizio di collegamento imprese/PDND - Callback documenti', 'producerName': 'Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura', 'totalActiveConsumers': 2, 'activeConsumersByMacroCategory': [{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 2}]}",Servizio di collegamento imprese/PDND - Callback documenti,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",2.0,"{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 2}",Servizio di collegamento imprese/PDND - Callback documenti,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",2.0,"[{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 2}]"
4,Enti Nazionali di Previdenza ed Assistenza Sociale,"{'eserviceName': 'arch-common-service_SDG', 'producerName': ""Agenzia per L'Italia Digitale"", 'totalActiveConsumers': 2, 'activeConsumersByMacroCategory': [{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 2}]}",arch-common-service_SDG,Agenzia per L'Italia Digitale,2.0,"{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 2}",arch-common-service_SDG,Agenzia per L'Italia Digitale,2.0,"[{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 2}]"
4,Enti Nazionali di Previdenza ed Assistenza Sociale,"{'eserviceName': 'C030-servizioAccertamentoIdUnicoNazionale', 'producerName': ""Ministero dell'Interno"", 'totalActiveConsumers': 2, 'activeConsumersByMacroCategory': [{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 2}]}",C030-servizioAccertamentoIdUnicoNazionale,Ministero dell'Interno,2.0,"{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 2}",C030-servizioAccertamentoIdUnicoNazionale,Ministero dell'Interno,2.0,"[{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 2}]"
4,Enti Nazionali di Previdenza ed Assistenza Sociale,"{'eserviceName': 'Welfare as a Service per i Comuni - (WaaS per i Comuni)', 'producerName': 'Comune di Montefiascone', 'totalActiveConsumers': 1, 'activeConsumersByMacroCategory': [{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}]}",Welfare as a Service per i Comuni - (WaaS per i Comuni),Comune di Montefiascone,1.0,"{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}",Welfare as a Service per i Comuni - (WaaS per i Comuni),Comune di Montefiascone,1.0,"[{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}]"
4,Enti Nazionali di Previdenza ed Assistenza Sociale,"{'eserviceName': 'Servizi consultazione Registro Imprese', 'producerName': 'Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura', 'totalActiveConsumers': 1, 'activeConsumersByMacroCategory': [{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}]}",Servizi consultazione Registro Imprese,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",1.0,"{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}",Servizi consultazione Registro Imprese,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",1.0,"[{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}]"
4,Enti Nazionali di Previdenza ed Assistenza Sociale,"{'eserviceName': 'Welfare as a Service per i Comuni - (WaaS per i Comuni)', 'producerName': 'Comune di Pescara', 'totalActiveConsumers': 1, 'activeConsumersByMacroCategory': [{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}]}",Welfare as a Service per i Comuni - (WaaS per i Comuni),Comune di Pescara,1.0,"{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}",Welfare as a Service per i Comuni - (WaaS per i Comuni),Comune di Pescara,1.0,"[{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}]"
4,Enti Nazionali di Previdenza ed Assistenza Sociale,"{'eserviceName': 'INAD CONSULTAZIONE DD', 'producerName': ""Agenzia per L'Italia Digitale"", 'totalActiveConsumers': 1, 'activeConsumersByMacroCategory': [{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}]}",INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,1.0,"{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}",INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,1.0,"[{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}]"
4,Enti Nazionali di Previdenza ed Assistenza Sociale,"{'eserviceName': 'evidence-broker_SDG', 'producerName': ""Agenzia per L'Italia Digitale"", 'totalActiveConsumers': 1, 'activeConsumersByMacroCategory': [{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}]}",evidence-broker_SDG,Agenzia per L'Italia Digitale,1.0,"{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}",evidence-broker_SDG,Agenzia per L'Italia Digitale,1.0,"[{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}]"
4,Enti Nazionali di Previdenza ed Assistenza Sociale,"{'eserviceName': 'C021-servizioAccertamentoStatoFamiglia', 'producerName': ""Ministero dell'Interno"", 'totalActiveConsumers': 1, 'activeConsumersByMacroCategory': [{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}]}",C021-servizioAccertamentoStatoFamiglia,Ministero dell'Interno,1.0,"{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}",C021-servizioAccertamentoStatoFamiglia,Ministero dell'Interno,1.0,"[{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}]"
4,Enti Nazionali di Previdenza ed Assistenza Sociale,"{'eserviceName': 'C002-servizioComunicazione', 'producerName': ""Ministero dell'Interno"", 'totalActiveConsumers': 1, 'activeConsumersByMacroCategory': [{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}]}",C002-servizioComunicazione,Ministero dell'Interno,1.0,"{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}",C002-servizioComunicazione,Ministero dell'Interno,1.0,"[{'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'count': 1}]"
9,Stazioni Appaltanti e Gestori di pubblici servizi,"{'eserviceName': 'PCP - Servizi comuni', 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC."", 'totalActiveConsumers': 9, 'activeConsumersByMacroCategory': [{'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'count': 9}]}",PCP - Servizi comuni,Autorita' Nazionale Anticorruzione - A.N.AC.,9.0,"{'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'count': 9}",PCP - Servizi comuni,Autorita' Nazionale Anticorruzione - A.N.AC.,9.0,"[{'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'count': 9}]"
9,Stazioni Appaltanti e Gestori di pubblici servizi,"{'eserviceName': 'PCP – Comunica appalto', 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC."", 'totalActiveConsumers': 9, 'activeConsumersByMacroCategory': [{'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'count': 9}]}",PCP – Comunica appalto,Autorita' Nazionale Anticorruzione - A.N.AC.,9.0,"{'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'count': 9}",PCP – Comunica appalto,Autorita' Nazionale Anticorruzione - A.N.AC.,9.0,"[{'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'count': 9}]"
9,Stazioni Appaltanti e Gestori di pubblici servizi,"{'eserviceName': 'AUSA - Anagrafe Unica delle Stazioni Appaltanti', 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC."", 'totalActiveConsumers': 9, 'activeConsumersByMacroCategory': [{'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'count': 9}]}",AUSA - Anagrafe Unica delle Stazioni Appaltanti,Autorita' Nazionale Anticorruzione - A.N.AC.,9.0,"{'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'count': 9}",AUSA - Anagrafe Unica delle Stazioni Appaltanti,Autorita' Nazionale Anticorruzione - A.N.AC.,9.0,"[{'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'count': 9}]"
9,Stazioni Appaltanti e Gestori di pubblici servizi,"{'eserviceName': 'PCP - Pubblica avviso', 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC."", 'totalActiveConsumers': 9, 'activeConsumersByMacroCategory': [{'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'count': 9}]}",PCP - Pubblica avviso,Autorita' Nazionale Anticorruzione - A.N.AC.,9.0,"{'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'count': 9}",PCP - Pubblica avviso,Autorita' Nazionale Anticorruzione - A.N.AC.,9.0,"[{'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'count': 9}]"
9,Stazioni Appaltanti e Gestori di pubblici servizi,"{'eserviceName': 'PCP - Comunica post pubblicazione', 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC."", 'totalActiveConsumers': 9, 'activeConsumersByMacroCategory': [{'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'count': 9}]}",PCP - Comunica post pubblicazione,Autorita' Nazionale Anticorruzione - A.N.AC.,9.0,"{'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'count': 9}",PCP - Comunica post pubblicazione,Autorita' Nazionale Anticorruzione - A.N.AC.,9.0,"[{'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'count': 9}]"
9,Stazioni Appaltanti e Gestori di pubblici servizi,"{'eserviceName': 'INAD CONSULTAZIONE DD', 'producerName': ""Agenzia per L'Italia Digitale"", 'totalActiveConsumers': 8, 'activeConsumersByMacroCategory': [{'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'count': 8}]}",INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,8.0,"{'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'count': 8}",INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,8.0,"[{'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'count': 8}]"
